,Adword,Text,Score
2100,Religious Events,a celebration of life and love and happiness,0.5353
2101,Religious Events, this event is crucial,0.4967
2102,Religious Events,again we have word of an event,0.4882
2103,Religious Events,convention last fall,0.4848
2104,Religious Events,what's going on sunday,0.4832
2105,Religious Events,let's review the events,0.4812
2106,Religious Events,a lot happened on that day,0.4749
2107,Religious Events,and then we got this church dinner,0.4735
2108,Religious Events,next year in jerusalem,0.4733
2109,Religious Events, a celebration of color,0.4704
2110,Religious Events,and it is your destinynathan to be the leaderwho uses this event to rally a city a nation a world,0.4652
2111,Religious Events, gay shame festival,0.4647
2112,Religious Events,  it was a beautiful event,0.4647
2113,Religious Events,  private event tonight,0.4636
2114,Religious Events, john: i need some events in my life,0.4625
2115,Religious Events,an important meeting or something,0.4593
2116,Religious Events,we got a big event coming up,0.4555
2117,Religious Events,we can't do big events,0.4550
2118,Religious Events,i throw events that's my job,0.4541
2119,Religious Events,we had tragic events and all you know are things that happen,0.4519
2120,Religious Events,we'll start with the processional,0.4519
2121,Religious Events,anything to get my mind off weddings,0.4501
2122,Religious Events, this event is mandatory,0.4499
2123,Religious Events,we celebrate and we still remember the people who have passed away,0.4458
2124,Religious Events,weddings are good for that,0.4437
2125,Religious Events,so what's next burning man  it's a long story,0.4406
2126,Religious Events,of every religion,0.4343
2127,Religious Events,this is an amazing event,0.4277
2128,Religious Events,the september massacres the black plague,0.4261
2129,Religious Events,kind of an important fundraiser,0.4250
2130,Religious Events,both gatherings were interesting in their different ways,0.4234
2131,Religious Events,an open house farmer's market now that's an event worth driving two hours for,0.4222
2132,Religious Events,why not when they give people a focus for their sorrow and a reminder of the sacrifices that were made,0.4198
2133,Religious Events, i really like the details on the gathering,0.4185
2134,Religious Events,meetings of history month meetings  we made the cover during made the cover,0.4159
2135,Religious Events,it's a celebration,0.4146
2136,Religious Events,we'll totally commiserate the event,0.4084
2137,Religious Events,love a good carnival,0.4078
2138,Religious Events, basically it's like the most important day of our lives,0.4073
2139,Religious Events,tune. marching band playing cheering  you know it's very controversial we don't even say it but hazing is an important ritual,0.4040
2140,Religious Events,hey are you going to the commemoration  of course,0.4038
2141,Religious Events, i don't care for all that celebrating and all that crap,0.4030
2142,Religious Events,your first communion,0.3995
2143,Religious Events,it's a celebration that ends in an explosion,0.3994
2144,Religious Events,the annual women's booster league rodeo fundraiser and fair,0.3952
2145,Religious Events, now that was a fun campaign event,0.3944
2146,Religious Events, this event isn't on the same night as ours,0.3944
2147,Religious Events, or any holidays nonholidays,0.3941
2148,Religious Events,we meet once a month to discuss books and art celebrate culture in a very civilized way,0.3932
2149,Religious Events,our memorial chapel with seating for up to 300 people,0.3922
2150,Theater Venues and Events,i meant which theater,0.7292
2151,Theater Venues and Events,theater if you will,0.6280
2152,Theater Venues and Events,so there'sthis art house theater about 40 miles from here,0.6032
2153,Theater Venues and Events,so theatrical theater,0.5949
2154,Theater Venues and Events,what a town huh great food terrific theater,0.5886
2155,Theater Venues and Events, what do you think you're doing  theater,0.5185
2156,Theater Venues and Events,is that like a corporate retreat i used to have to perform at those all the time back when jenna and i were in that improv troupe,0.5181
2157,Theater Venues and Events,"where i studied theater superstition under professor duane ""crawfish"" kenny",0.5178
2158,Theater Venues and Events,hi i'm ian from ian loves theater,0.5140
2159,Theater Venues and Events, it's a nice venue,0.5052
2160,Theater Venues and Events, show is two days away and it's going to be at spring street studios,0.5041
2161,Theater Venues and Events,so we found this beautiful venue in jersey city,0.5023
2162,Theater Venues and Events, that is correct  yes  i usually don't enjoy the theater,0.4977
2163,Theater Venues and Events,typically we just do galas and rent out a venue,0.4962
2164,Theater Venues and Events,the san francisco symphony has a hall,0.4922
2165,Theater Venues and Events,convention last fall,0.4899
2166,Theater Venues and Events,kind of entertainers' palace,0.4887
2167,Theater Venues and Events,we have a show on friday,0.4879
2168,Theater Venues and Events,please keep our theaters clean by disposing of your trash in the specified waste containers,0.4870
2169,Theater Venues and Events, still trying to find aa venue,0.4841
2170,Theater Venues and Events,get your plays meet me in the film room for lunch,0.4840
2171,Theater Venues and Events,well my neighborhood theater group is putting on a holiday revue,0.4743
2172,Theater Venues and Events,"and the wilkesbarre marriott ballroom ""c",0.4723
2173,Theater Venues and Events,""" cheers and applause  as a celebration of the revival of new york city lincoln center is championing arts",0.4719
2174,Theater Venues and Events,charlie charlie 24hour samurai film festival at the drafthouse in austin austin that's over 300 miles away,0.4714
2175,Theater Venues and Events, kathy: this is where the concert was  jj: that is the concert venue,0.4630
2176,Theater Venues and Events,carnegie hall is the biggest performance i ever played,0.4597
2177,Theater Venues and Events,it's in the hamptons this saturday,0.4594
2178,Theater Venues and Events,entertainment music plays not just any entertainment,0.4533
2179,Theater Venues and Events, lucky for me i was directing that little theater group in the village last night,0.4487
2180,Theater Venues and Events,this is belle epoque in paris,0.4486
2181,Theater Venues and Events,i was in greenwich village watching a rehearsal of a play,0.4443
2182,Theater Venues and Events,dramatic music  chefs san francisco is known to have some of the best restaurants in the world and there was one restaurant that was at the top of that tier for several decades,0.4401
2183,Theater Venues and Events,dramatic music allsafe officially opened its doors in '04,0.4381
2184,Theater Venues and Events,central park tonight,0.4374
2185,Theater Venues and Events, just private showings,0.4317
2186,Theater Venues and Events,for the opening of the british empire exhibition,0.4297
2187,Theater Venues and Events, all right 'cause my roommate's in there having like a film festival,0.4276
2188,Theater Venues and Events, the art gallery,0.4216
2189,Theater Venues and Events, san diego modern art fair,0.4211
2190,Theater Venues and Events,  what you think huh  cool venue,0.4201
2191,Theater Venues and Events,a local bar but in a stadium,0.4196
2192,Theater Venues and Events,renaissance faire,0.4186
2193,Theater Venues and Events,hut  and remember you can buy your tickets at the door but why wait the dance committee will be selling tickets in the cafeteria all week,0.4150
2194,Theater Venues and Events,  okay a movie cinema you know really anything you can imagine,0.4107
2195,Theater Venues and Events, it's where the kids spent tons of time movies friends parties,0.4102
2196,Theater Venues and Events, cars honking we're turning the portland expo into a popup drivein theater,0.4102
2197,Theater Venues and Events,  dinner and a show,0.4070
2198,Theater Venues and Events,an open house farmer's market now that's an event worth driving two hours for,0.4066
2199,Theater Venues and Events,the annual women's booster league rodeo fundraiser and fair,0.4061
2200,Zoos & Aquariums,the zoo ha just as fun right  no,0.6520
2201,Zoos & Aquariums, you've got the schools parks,0.5360
2202,Zoos & Aquariums,like make a nice little aquarium,0.5135
2203,Zoos & Aquariums, so if you could pick an ideal date what would it be  the aquarium,0.5052
2204,Zoos & Aquariums,and it has this wonderful big cat sanctuary called the lion habitat ranch,0.5034
2205,Zoos & Aquariums,so you got a nice park you take 'em to where do you go  different places,0.4864
2206,Zoos & Aquariums,worldfamous walt disney's epcot center,0.4721
2207,Zoos & Aquariums,tom's wedding was at the central park zoo,0.4672
2208,Zoos & Aquariums, do you want to go see them unload the animals for the petting zoo  go ahead,0.4609
2209,Zoos & Aquariums,and that catfish pond in florida i'm gonna get some day,0.4585
2210,Zoos & Aquariums, the art gallery,0.4565
2211,Zoos & Aquariums,i'm taking her to the zoo actually,0.4508
2212,Zoos & Aquariums,the park it's full of life all the time,0.4473
2213,Zoos & Aquariums, ugh i want to make fun of you but i love that aquarium,0.4467
2214,Zoos & Aquariums, the dock the boat the fishing pond the beach and we are going to sell this lake lifestyle,0.4441
2215,Zoos & Aquariums,we offer our tours of the fields and of the barn,0.4419
2216,Zoos & Aquariums,alligators and dingo babies,0.4336
2217,Zoos & Aquariums,places everybody,0.4304
2218,Zoos & Aquariums,places everybody,0.4304
2219,Zoos & Aquariums,fletcher's museum,0.4291
2220,Zoos & Aquariums, bison and catfish,0.4272
2221,Zoos & Aquariums,the fountains the firepit,0.4254
2222,Zoos & Aquariums,the one in my backyard,0.4249
2223,Zoos & Aquariums,  all the beach towns,0.4226
2224,Zoos & Aquariums,the grounds are spectacular,0.4211
2225,Zoos & Aquariums, big cattle ranch,0.4164
2226,Zoos & Aquariums, i mean the water fountain the koi pond,0.4157
2227,Zoos & Aquariums, it has outdoor space,0.4141
2228,Zoos & Aquariums,i volunteered on an elephant reserve which was just phenomenal,0.4089
2229,Zoos & Aquariums, i think in the great barrier reef,0.4074
2230,Zoos & Aquariums,  the children love it there,0.4068
2231,Zoos & Aquariums, you're gonna see a lot of animals today,0.4047
2232,Zoos & Aquariums, you're gonna see a lot of animals today,0.4047
2233,Zoos & Aquariums,you like  oh they serve fish at the school yes,0.4032
2234,Zoos & Aquariums,it's best known for its attractions like the queen mary the aquarium of the pacific and several gay drinking establishments,0.4006
2235,Zoos & Aquariums, all animal prints,0.3991
2236,Zoos & Aquariums, all animal prints,0.3991
2237,Zoos & Aquariums, it's a preschool,0.3977
2238,Zoos & Aquariums, it was a circus,0.3973
2239,Zoos & Aquariums,the museums are closing,0.3957
2240,Zoos & Aquariums,and taking carriage rides in the park,0.3956
2241,Zoos & Aquariums,exciting music  nice little peaceful harbor,0.3951
2242,Zoos & Aquariums, what are we talking about  well you could take your kids there,0.3938
2243,Zoos & Aquariums,where we could charge money to stay there,0.3929
2244,Zoos & Aquariums, tune. where i go tune.  and i wanna take them there and have that experience,0.3909
2245,Zoos & Aquariums, hospitals are great,0.3863
2246,Zoos & Aquariums,you know instead of supporting some wildlife initiative halfway across the world why don't we sponsor a struggling public school right here in the l,0.3853
2247,Zoos & Aquariums, i need to create a buzz around artemis farm,0.3845
2248,Zoos & Aquariums,they've got cages and rubber floors and a threefortwo special on fridays,0.3816
2249,Zoos & Aquariums, amazing location,0.3815
2250,Bars & Restaurants,it's the clubs bars,0.6854
2251,Bars & Restaurants, restaurant's open,0.6588
2252,Bars & Restaurants, where  restaurant,0.6495
2253,Bars & Restaurants, i tend bar there,0.6180
2254,Bars & Restaurants, who needs a nightclub they're all closed,0.6093
2255,Bars & Restaurants,places everybody,0.6091
2256,Bars & Restaurants,places everybody,0.6091
2257,Bars & Restaurants,the best restaurants in whatever town that i happen to live in,0.6086
2258,Bars & Restaurants,just the closest bar to work,0.6007
2259,Bars & Restaurants, how about a local bar inside a local bar  not helpful joe,0.6004
2260,Bars & Restaurants,we go to the restaurants around here,0.5956
2261,Bars & Restaurants, some diner it was the starlight diner,0.5807
2262,Bars & Restaurants, where'd you find her  this bar she works at,0.5781
2263,Bars & Restaurants,there's something great about a good neighborhood bar,0.5660
2264,Bars & Restaurants,get it cocktail dress cocktail bars,0.5623
2265,Bars & Restaurants,  well lots of places to go,0.5612
2266,Bars & Restaurants,and every bar is open until four am,0.5557
2267,Bars & Restaurants, that is amazing 'cause i actually own a bar,0.5508
2268,Bars & Restaurants,anywhere you wanna go,0.5470
2269,Bars & Restaurants,maybe on this side say the barbecue bar,0.5413
2270,Bars & Restaurants,where they can dine in six in new york city they need to be able to dine in 10 or 12,0.5391
2271,Bars & Restaurants, sighs town lounge,0.5353
2272,Bars & Restaurants,no in the bar area,0.5312
2273,Bars & Restaurants,there's a ton of clubs in that neighborhood,0.5280
2274,Bars & Restaurants, hiya  think of a fast casual concept that can work in any city in america,0.5251
2275,Bars & Restaurants,  upper east side,0.5239
2276,Bars & Restaurants,  where  starbucks,0.5230
2277,Bars & Restaurants, downtown near wall street,0.5227
2278,Bars & Restaurants,  all the beach towns,0.5208
2279,Bars & Restaurants, bartending  oh my gosh,0.5186
2280,Bars & Restaurants,secluded dark away from everybody else the general public,0.5184
2281,Bars & Restaurants,sized strip club after me,0.5181
2282,Bars & Restaurants,so while we're making tons of cash we are letting everybody know the name of the best damn bar in the city,0.5147
2283,Bars & Restaurants, on the street after dark,0.5142
2284,Bars & Restaurants, on the street after dark,0.5142
2285,Bars & Restaurants,little breakfast place,0.5136
2286,Bars & Restaurants, in someplace that is neither paris nor montauk or martha's vineyard,0.5130
2287,Bars & Restaurants,uh it's that strip club,0.5129
2288,Bars & Restaurants,do you know where we're going  we got to check out this bar,0.5107
2289,Bars & Restaurants,tons of great restaurants not to mention the transportation,0.5078
2290,Bars & Restaurants, where's the bar hey not so fast,0.5028
2291,Bars & Restaurants,we'll lunch at the tavern,0.5025
2292,Bars & Restaurants,like where is everyone  we're gettin' ready for dinner,0.5022
2293,Bars & Restaurants,how about a food court  i didn't peg you for a food court guy,0.5014
2294,Bars & Restaurants,barth's so it might be fun,0.4995
2295,Bars & Restaurants,this is a legacy restaurant,0.4989
2296,Bars & Restaurants,i'll have a cafe,0.4972
2297,Bars & Restaurants,at seret studios for a champagne and caviar celebration,0.4969
2298,Bars & Restaurants,places are closed,0.4967
2299,Bars & Restaurants,a crowded restaurant,0.4943
2300,Casinos & Gambling,let's play a little casino,0.6147
2301,Casinos & Gambling,linderman nderman so this is really li the mobster who owns all those casinos what does he have to do with all of this apparently more than i knew,0.4887
2302,Casinos & Gambling, welcome to las vegas,0.4703
2303,Casinos & Gambling,casino night  if it go into the wrong hands it's kind of like,0.4641
2304,Casinos & Gambling,  you need to go to vegas,0.4591
2305,Casinos & Gambling,city of opportunity,0.4467
2306,Casinos & Gambling,yeah let's go to vegas,0.4384
2307,Casinos & Gambling,a car from the corinthian ca that's linderman's casino,0.4283
2308,Casinos & Gambling,i want to go to vegas do some ballin',0.4257
2309,Casinos & Gambling,it's fashion it's travel it's restaurateurs hotels,0.4196
2310,Casinos & Gambling, we'll be in vegas next week for a twoweek run at the mirage,0.4176
2311,Casinos & Gambling, and guess what according to the nbc employee handbook your little card game lottery constitutes gambling,0.4167
2312,Casinos & Gambling,on broadway las vegas,0.4138
2313,Casinos & Gambling, big cattle ranch,0.4116
2314,Casinos & Gambling, yeah vegas was great,0.4081
2315,Casinos & Gambling,what more do you need so where you headed big apple vegas hogwarts  i'm not allowed to cross the street,0.4075
2316,Casinos & Gambling,what kinda resort is this  not a resort exactly,0.4065
2317,Casinos & Gambling, big baby's businesses,0.4059
2318,Casinos & Gambling,where we could charge money to stay there,0.4058
2319,Casinos & Gambling,i loved winning at poker so much that i decided to host my own poker night,0.4013
2320,Casinos & Gambling,places everybody,0.4000
2321,Casinos & Gambling,places everybody,0.4000
2322,Casinos & Gambling,it's the clubs bars,0.3973
2323,Casinos & Gambling,yachting covers three so let's give this a go,0.3961
2324,Casinos & Gambling, are we talking about nevada nevada  it's a metaphor,0.3942
2325,Casinos & Gambling, restaurant's open,0.3941
2326,Casinos & Gambling,more like a hotel for the rundown rich,0.3935
2327,Casinos & Gambling, i was in las vegas,0.3935
2328,Casinos & Gambling,this is where like me and my girlfriends will hang out you know on a road trip out to vegas,0.3922
2329,Casinos & Gambling, oh really  come on two restaurants,0.3921
2330,Casinos & Gambling,the best restaurants in whatever town that i happen to live in,0.3910
2331,Casinos & Gambling,"so i'm guessing you guys heard ""vegas wedding met at the craps table"" and thought  stripper",0.3901
2332,Casinos & Gambling, like the place with cowboys and rodeos and stuff  and a super low tax rate hardly any crime,0.3883
2333,Casinos & Gambling,what you should be doing is online poker,0.3882
2334,Casinos & Gambling, this is a hookah lounge,0.3882
2335,Casinos & Gambling,  all the beach towns,0.3860
2336,Casinos & Gambling,you got fancy people fancy restaurants fancy shops and of course,0.3856
2337,Casinos & Gambling,regis resort you literally never have to leave,0.3839
2338,Casinos & Gambling,kind of entertainers' palace,0.3808
2339,Casinos & Gambling, hey uh mo  did i mention there is a current liquor license  great what's that mean again  well some liquor licenses are specific to location rather than the business itself so you'd be wellserved,0.3790
2340,Casinos & Gambling,some very clear rules of e wild west,0.3785
2341,Casinos & Gambling, here we have our cigar lounge,0.3751
2342,Casinos & Gambling,so while we're making tons of cash we are letting everybody know the name of the best damn bar in the city,0.3743
2343,Casinos & Gambling,games is one thing,0.3743
2344,Casinos & Gambling, you think a strip club owner has a shot  what changed your mind  you,0.3731
2345,Casinos & Gambling,this is property of the resort,0.3715
2346,Casinos & Gambling,homeland security,0.3706
2347,Casinos & Gambling, hotel california,0.3696
2348,Casinos & Gambling,"what business do you have in this competition""",0.3693
2349,Casinos & Gambling,uh it's that strip club,0.3692
2350,Cinemas and Events,theater if you will,0.6448
2351,Cinemas and Events,i meant which theater,0.6236
2352,Cinemas and Events,  okay a movie cinema you know really anything you can imagine,0.5874
2353,Cinemas and Events,it's movie night,0.5540
2354,Cinemas and Events, that is correct  yes  i usually don't enjoy the theater,0.5423
2355,Cinemas and Events,so theatrical theater,0.5351
2356,Cinemas and Events, doing what  not going to the movies,0.5343
2357,Cinemas and Events,what a town huh great food terrific theater,0.5301
2358,Cinemas and Events, it's where the kids spent tons of time movies friends parties,0.5081
2359,Cinemas and Events, all right 'cause my roommate's in there having like a film festival,0.5009
2360,Cinemas and Events, where have you been  told you i went to the movies,0.4754
2361,Cinemas and Events,charlie charlie 24hour samurai film festival at the drafthouse in austin austin that's over 300 miles away,0.4699
2362,Cinemas and Events,so you're a theater critic,0.4675
2363,Cinemas and Events,i'm going to the movies,0.4664
2364,Cinemas and Events, just private showings,0.4661
2365,Cinemas and Events,my brother wants to catch a movie,0.4635
2366,Cinemas and Events,entertainment music plays not just any entertainment,0.4618
2367,Cinemas and Events,get your plays meet me in the film room for lunch,0.4583
2368,Cinemas and Events,we just got us a costco last year and they just put in a brandnew movie theater out by the reservoir,0.4569
2369,Cinemas and Events,we can do movie night next time,0.4553
2370,Cinemas and Events,so there'sthis art house theater about 40 miles from here,0.4549
2371,Cinemas and Events, cutting my documentary in the city,0.4429
2372,Cinemas and Events,hello people still in the house here meet me at the theater at 7:00,0.4426
2373,Cinemas and Events,typically we just do galas and rent out a venue,0.4406
2374,Cinemas and Events, what do you think you're doing  theater,0.4403
2375,Cinemas and Events,""" cheers and applause  as a celebration of the revival of new york city lincoln center is championing arts",0.4390
2376,Cinemas and Events, always play those chick flicks,0.4364
2377,Cinemas and Events,renaissance faire,0.4363
2378,Cinemas and Events, y'all didn't go nowhere to the movies nothing  we went to the movies,0.4351
2379,Cinemas and Events,convention last fall,0.4321
2380,Cinemas and Events, it's really hard to even get people to do private showings but i think social media getting it out there instant global it's gonna drum up a lot of interest,0.4303
2381,Cinemas and Events,kind of entertainers' palace,0.4300
2382,Cinemas and Events, the movie's about to start,0.4283
2383,Cinemas and Events,  dinner and a show,0.4266
2384,Cinemas and Events,hey kids movie night,0.4261
2385,Cinemas and Events, it's a nice venue,0.4245
2386,Cinemas and Events, cars honking we're turning the portland expo into a popup drivein theater,0.4235
2387,Cinemas and Events,this is belle epoque in paris,0.4230
2388,Cinemas and Events,i was into horror movies,0.4226
2389,Cinemas and Events, san diego modern art fair,0.4170
2390,Cinemas and Events, this is a movie,0.4161
2391,Cinemas and Events,yeah and you know how strict they are about that at the cineplex,0.4142
2392,Cinemas and Events,watching game film,0.4134
2393,Cinemas and Events,zoey thank you for reinstating movie night,0.4129
2394,Cinemas and Events,well my neighborhood theater group is putting on a holiday revue,0.4127
2395,Cinemas and Events,worldfamous walt disney's epcot center,0.4120
2396,Cinemas and Events,we'd go to the movies the mall,0.4107
2397,Cinemas and Events,we've done private showings open houses,0.4097
2398,Cinemas and Events, laugh  hot date with netflix,0.4095
2399,Cinemas and Events, gay shame festival,0.4095
2400,Comedy Events, gay shame festival,0.5874
2401,Comedy Events,elections can be very good for sketch comedy shows,0.5625
2402,Comedy Events, what are they doing here laughter  book club,0.5531
2403,Comedy Events,give me four audience laughs or not,0.5415
2404,Comedy Events,give me four audience laughs or not,0.5415
2405,Comedy Events, laughing  oh oh so i love stories about things that are unplanned happening to people on stage,0.5034
2406,Comedy Events,convention last fall,0.5019
2407,Comedy Events,the same stories and variations thereof being forced to laugh over and over,0.4998
2408,Comedy Events, you think i'd miss the biggest party of the year  funny,0.4989
2409,Comedy Events,"both: let's go celebrate laughter  next time on ""million dollar listing: los angeles",0.4977
2410,Comedy Events,masters of comedy,0.4969
2411,Comedy Events,laughter  i do entertainment fashion,0.4944
2412,Comedy Events, are the people generally happy  laughs oh,0.4942
2413,Comedy Events,well my neighborhood theater group is putting on a holiday revue,0.4884
2414,Comedy Events,laughter narrator: and later,0.4867
2415,Comedy Events, laugh  hot date with netflix,0.4820
2416,Comedy Events,your little banquet should prove quite amusing,0.4762
2417,Comedy Events, it was a circus,0.4681
2418,Comedy Events,laughter the greatest and most challenging adventure of human relationships,0.4651
2419,Comedy Events,"narrator: and now ""blind date"" presents two nonfunny strangers doing improv comedy",0.4618
2420,Comedy Events, who  the guests,0.4614
2421,Comedy Events, who's the comedian flatulence laughter  hand it over,0.4600
2422,Comedy Events,love a good carnival,0.4587
2423,Comedy Events,we have a show on friday,0.4585
2424,Comedy Events,laughter  to a great season,0.4556
2425,Comedy Events, spelliversary  cheers laughter   party people in the hizzy  you showed up,0.4553
2426,Comedy Events,comedy i used to think so,0.4537
2427,Comedy Events,the annual women's booster league rodeo fundraiser and fair,0.4533
2428,Comedy Events,friday night at molly's,0.4501
2429,Comedy Events,laughter hey i'm just playingwith you baby i'm just playing with you baby hey uh how about saracen sleeping with the coach's daughter silence nothing quite like athletes doing comedy,0.4496
2430,Comedy Events,  private event tonight,0.4490
2431,Comedy Events, elizabeth's big birthday party,0.4485
2432,Comedy Events,for worst supporting bra laughter  what play is that  i will not allow this to happen,0.4466
2433,Comedy Events, laughs  karaoke cheers and applause come on,0.4461
2434,Comedy Events, i do kind of want to make it fun even though it is a cfda event,0.4437
2435,Comedy Events,this is an amazing event,0.4429
2436,Comedy Events,it's like he's already any fun event he always seems to be invited,0.4428
2437,Comedy Events,i throw events that's my job,0.4427
2438,Comedy Events, laughter  that make a lot of sense,0.4419
2439,Comedy Events, it's a comedy a joyful romp,0.4416
2440,Comedy Events,  dinner and a show,0.4414
2441,Comedy Events,  a bit of a circus,0.4403
2442,Comedy Events,laughter cheese balls,0.4401
2443,Comedy Events,laughs family portraits fo ,0.4369
2444,Comedy Events,"a ""blind date"" production",0.4369
2445,Comedy Events,laughter knocking  loverboy headquarters,0.4367
2446,Comedy Events,theater if you will,0.4360
2447,Comedy Events, laughter  fashion,0.4351
2448,Comedy Events, laughter  fashion,0.4351
2449,Comedy Events, this is where the party happens,0.4329
2450,Concerts & Music Events,rock music  i'm going,0.6009
2451,Concerts & Music Events,entertainment music plays not just any entertainment,0.5915
2452,Concerts & Music Events,i just hate concerts,0.5773
2453,Concerts & Music Events,convention last fall,0.5668
2454,Concerts & Music Events,two nights ago i went to an alicia keys concert at montage mountain performing arts center,0.5557
2455,Concerts & Music Events, enjoy the concert,0.5548
2456,Concerts & Music Events, show is two days away and it's going to be at spring street studios,0.5489
2457,Concerts & Music Events, still trying to find aa venue,0.5440
2458,Concerts & Music Events, concert you singing  i'm being honored,0.5427
2459,Concerts & Music Events,we have a show on friday,0.5378
2460,Concerts & Music Events,typically we just do galas and rent out a venue,0.5297
2461,Concerts & Music Events, it's a nice venue,0.5295
2462,Concerts & Music Events,the san francisco symphony has a hall,0.5278
2463,Concerts & Music Events,so we found this beautiful venue in jersey city,0.5215
2464,Concerts & Music Events,playing in carnegie hall is just as fun,0.5090
2465,Concerts & Music Events,what's so good about that when you can go to the music hall in york i'd rather hear a live singer me,0.5055
2466,Concerts & Music Events, kathy: this is where the concert was  jj: that is the concert venue,0.5042
2467,Concerts & Music Events,the school where i teach music is throwing a tribute concert for me to celebrate 20 years of the choir i started,0.4977
2468,Concerts & Music Events, so i uh purchased some concert tickets,0.4940
2469,Concerts & Music Events,aah well i'm not sure an oboe recital's what i had in mind,0.4892
2470,Concerts & Music Events,fashion week australia fashion week and in the buckingham palace tune.tune.  so amazing,0.4865
2471,Concerts & Music Events,no concert that night either,0.4843
2472,Concerts & Music Events, half my social media feed is coachella burning man,0.4833
2473,Concerts & Music Events,there's a lot of artists a lot of musicians up there,0.4824
2474,Concerts & Music Events,it'd be a great great concert,0.4814
2475,Concerts & Music Events,i'm the keyboard player at church and we do gigs outside like michigan,0.4806
2476,Concerts & Music Events,ii got my kid's violin concert so  next time then,0.4792
2477,Concerts & Music Events,  music  mainly right here,0.4740
2478,Concerts & Music Events,tune.  the outdoor space,0.4740
2479,Concerts & Music Events,an open house farmer's market now that's an event worth driving two hours for,0.4708
2480,Concerts & Music Events, lively music  gosh,0.4703
2481,Concerts & Music Events,by performance do you mean the highest mortality and infection rates in new york city 'cause that's like the beyoncé of performances if beyoncé you know killed people,0.4698
2482,Concerts & Music Events,"ladies and gentlemen for the first time ever the little big shots"" super band performing ""september",0.4678
2483,Concerts & Music Events,we performed at the house of blues with the revolution actually prince's old band,0.4672
2484,Concerts & Music Events,  you  festival dj,0.4665
2485,Concerts & Music Events,  music  wow it's huge here,0.4651
2486,Concerts & Music Events,but the best concert that i have ever been to still is your dad in porter's pub in college,0.4617
2487,Concerts & Music Events,the concert's off the entire rally's off,0.4611
2488,Concerts & Music Events,  really  i have a thing  tell me  so it's with city conservatory you know 'cause music is my my thang,0.4604
2489,Concerts & Music Events, just private showings,0.4599
2490,Concerts & Music Events, just move the tour dates,0.4583
2491,Concerts & Music Events,go see a couple shows,0.4577
2492,Concerts & Music Events,this is where i'd really like to come for my birthday,0.4572
2493,Concerts & Music Events,the annual women's booster league rodeo fundraiser and fair,0.4553
2494,Concerts & Music Events,dramatic music allsafe officially opened its doors in '04,0.4552
2495,Concerts & Music Events,  private event tonight,0.4548
2496,Concerts & Music Events,music continues rain pitterpattering whimsical music why are you not here new york city,0.4531
2497,Concerts & Music Events,  what you think huh  cool venue,0.4520
2498,Concerts & Music Events,we got a big event coming up,0.4512
2499,Concerts & Music Events, gay shame festival,0.4510
2500,Dating, what  you're thinking about fully dating  mmhmm,0.6147
2501,Dating, i'm actively dating out here,0.6004
2502,Dating,doing an article on internet dating,0.5966
2503,Dating,today i'm asking you out,0.5957
2504,Dating,let me put myself on dates,0.5869
2505,Dating,"""hooking up"" if it was like that kind of relationship",0.5866
2506,Dating, there is a dating game,0.5793
2507,Dating,well actually i'm waiting for a date,0.5776
2508,Dating,  you date girls you find on your phone,0.5774
2509,Dating,so how's the dating been for you  i'm dating with a purpose i like to say that,0.5768
2510,Dating,the date is going well,0.5591
2511,Dating, relationship  yeah,0.5579
2512,Dating,dating someone who's better looking than you  i think that's the goal,0.5501
2513,Dating,this guy doesn't know how to date people,0.5480
2514,Dating,what are you doing right now i'm on a date with this,0.5455
2515,Dating, date night baby,0.5430
2516,Dating,narrator: we interrupt this date to talk about actual human relationship stuff,0.5392
2517,Dating,so i need a date,0.5390
2518,Dating,conditions i want you to date mr,0.5366
2519,Dating, to just like get to know each other,0.5338
2520,Dating,we're going on a date,0.5328
2521,Dating,taking you out to dinner,0.5305
2522,Dating,i'm the most eligible bachelor on a dating app,0.5305
2523,Dating,uh accepting a date with a guy that you click with,0.5293
2524,Dating,we went on a date,0.5247
2525,Dating, i date you to have phone sex with jordan right now,0.5246
2526,Dating, we can all go on a date,0.5231
2527,Dating, i'm recently single,0.5230
2528,Dating, i'm not in a relationship at the moment,0.5222
2529,Dating,i'm not not the relationship type,0.5191
2530,Dating, meeting the girls for drinks,0.5186
2531,Dating,i want you to date mr,0.5185
2532,Dating,being a single woman,0.5176
2533,Dating, are you talking about like to datedate exclusively  i need to like level some things out,0.5175
2534,Dating,how did we make it to date three when you really know i'm not the guy uh it's,0.5171
2535,Dating,e of our best dates,0.5169
2536,Dating,sounds like a date,0.5160
2537,Dating,really you two are dating even as we speak,0.5131
2538,Dating,lookin' to fall in love,0.5117
2539,Dating,so uh first date stuff,0.5108
2540,Dating,what are you doing here i'm meeting someone,0.5100
2541,Dating,when you are single,0.5100
2542,Dating,no we are not dating,0.5095
2543,Dating,i've been out on a couple dates with,0.5078
2544,Dating,you're dateless 'cause you're picky,0.5074
2545,Dating,  laughs  so who's your date  um no one,0.5067
2546,Dating,what are you doing tomorrow want to get together  um actually i have a date,0.5055
2547,Dating, are you looking for a relationship are you looking to have fun  i'm just looking to bleep,0.5054
2548,Dating,hello kind of girl who's in a serious relationship,0.5052
2549,Dating,it'’s the first date,0.5042
2550,Parenting,parental instinct,0.6146
